id,user_id,question_id,question_code,answer_value,completed_at
03d86640-feae-4d20-84c7-8f61b926ee39,884e627b-8049-41cb-ad9c-c880aa188345,c791a616-0b11-4f9e-9a51-f18e1fcf07fc,Q24,"{""value"":2}",2025-06-16 13:36:09.331107+00
05aa34e0-105e-408b-bcd5-7e5f8af76e45,884e627b-8049-41cb-ad9c-c880aa188345,868930a7-bcb2-466d-9768-1b7a282a4869,Q20,"{""value"":3}",2025-06-16 13:36:09.331107+00
10344174-91e1-4024-bb16-865a2bc69536,884e627b-8049-41cb-ad9c-c880aa188345,95bfcb5c-97fc-4044-b264-e0df91f7bad0,Q15,"{""value"":2}",2025-06-16 13:36:09.331107+00
12ce570c-8364-48b0-8c1f-a8726cdd4521,884e627b-8049-41cb-ad9c-c880aa188345,f7614a81-8dcc-4682-8053-4657a889e4dd,Q2,"{""value"":3}",2025-06-16 13:36:09.331107+00
2600f83e-3d33-4385-a9d2-d65eaddfd6ae,884e627b-8049-41cb-ad9c-c880aa188345,306dd940-4a86-4ebc-8614-89690350ba97,Q22,"{""value"":3}",2025-06-16 13:36:09.331107+00
2ce7f9f7-445a-4379-acaf-f4a8475b477a,884e627b-8049-41cb-ad9c-c880aa188345,20fa55d8-df2e-4586-ab01-5664ea27e67d,Q3,"{""value"":3}",2025-06-16 13:36:09.331107+00
2fa707a2-ebbd-4622-81d2-4787a72b7a0b,884e627b-8049-41cb-ad9c-c880aa188345,39a35019-5ff8-4e44-b26f-cb3ff7ec2e81,Q17,"{""value"":2}",2025-06-16 13:36:09.331107+00
35777d8e-433a-4826-94ad-9fb413c3addc,884e627b-8049-41cb-ad9c-c880aa188345,af588bef-82d5-452b-a093-2a906d91ade7,Q14,"{""value"":3}",2025-06-16 13:36:09.331107+00
371539ee-efc3-47e9-bf41-202a6cd16f64,884e627b-8049-41cb-ad9c-c880aa188345,fc7286c4-abeb-4684-99f8-f5b3a7d3361e,Q4,"{""value"":2}",2025-06-16 13:36:09.331107+00
4577f785-a2e4-46e4-a2dd-28ffa9251db1,884e627b-8049-41cb-ad9c-c880aa188345,cdd59d21-27cb-43a1-82db-d2b3b909eb3e,Q21,"{""value"":3}",2025-06-16 13:36:09.331107+00
596782c5-8b60-4918-93ab-500249ff5e2c,884e627b-8049-41cb-ad9c-c880aa188345,a9b96b5a-c9e8-4752-a684-fc85b4a50177,Q13,"{""value"":4}",2025-06-16 13:36:09.331107+00
6663f0ba-86a8-4cb1-a7a3-2051e1dc347f,884e627b-8049-41cb-ad9c-c880aa188345,2c1d53b3-cc68-4361-a8df-ad88ed12eece,Q9,"{""value"":3}",2025-06-16 13:36:09.331107+00
66caede6-b11a-46cf-89fe-c2d58dcbc0ec,884e627b-8049-41cb-ad9c-c880aa188345,1ed73019-5ee5-4c59-b2c0-4143012aca33,Q7,"{""value"":3}",2025-06-16 13:36:09.331107+00
6e8c160a-073b-4322-983e-46b3a2de63da,884e627b-8049-41cb-ad9c-c880aa188345,768dc69e-e5c5-42fe-a2b2-71ec46801052,Q12,"{""value"":2}",2025-06-16 13:36:09.331107+00
7501108c-24d5-4ee2-95c9-a061bdda941f,884e627b-8049-41cb-ad9c-c880aa188345,f8ac0856-99e8-413b-aac7-0a519cb74d40,Q1,"{""value"":3}",2025-06-16 13:36:09.331107+00
78c9a5b6-bc8f-4d1c-bd0e-468f2c20f291,884e627b-8049-41cb-ad9c-c880aa188345,2449e86c-5e3a-4ce7-94fb-e0f4af907b56,Q18,"{""value"":1}",2025-06-16 13:36:09.331107+00
7bbfbb97-457a-4983-906c-5aabbba71b65,884e627b-8049-41cb-ad9c-c880aa188345,9a78f921-527b-4527-b901-533d262d0ea8,Q11,"{""value"":1}",2025-06-16 13:36:09.331107+00
8ac2475e-a715-4b9b-9f79-bd25cd6e918c,884e627b-8049-41cb-ad9c-c880aa188345,84f41532-298a-4318-b1a9-8406972f5378,Q5,"{""value"":2}",2025-06-16 13:36:09.331107+00
9c2a425a-684b-4c46-9de9-dcf2cc977784,884e627b-8049-41cb-ad9c-c880aa188345,c5951563-704f-4828-aaa3-af4ea18f4b7f,Q16,"{""value"":3}",2025-06-16 13:36:09.331107+00
a322fd46-a51f-4a8c-b4fc-394975302dee,884e627b-8049-41cb-ad9c-c880aa188345,a33b6bbd-6102-492d-bc55-84b812ba8029,Q19,"{""value"":3}",2025-06-16 13:36:09.331107+00
abc9b56a-9155-4642-8e19-e8d29d3bef6f,884e627b-8049-41cb-ad9c-c880aa188345,1643ea37-c9ed-4d46-a29a-f1f01e1d4ad6,Q10,"{""value"":2}",2025-06-16 13:36:09.331107+00
c8f93fe4-4d70-42c5-a8a2-852d8f071166,884e627b-8049-41cb-ad9c-c880aa188345,0e17b07b-e38b-4212-960e-a337da329a01,Q6,"{""value"":3}",2025-06-16 13:36:09.331107+00
cfef70a0-b353-47a7-9f76-dc3c8856b4e1,884e627b-8049-41cb-ad9c-c880aa188345,5a729eb7-6cce-448f-9c40-b5dd12c549eb,Q23,"{""value"":3}",2025-06-16 13:36:09.331107+00
dd140e11-fe8a-479b-9348-8c2bad3b39f0,884e627b-8049-41cb-ad9c-c880aa188345,9b695d45-b505-4cfe-8a2c-faf9c1238387,Q8,"{""value"":3}",2025-06-16 13:36:09.331107+00