id,question_code,question_type,prompt,input_type,choices,trait_mapping,display_order,is_active,created_at,metadata
0e17b07b-e38b-4212-960e-a337da329a01,Q6,personality,I often think several moves ahead before acting.,likert,"[""1"",""2"",""3"",""4"",""5""]",,6,true,2025-06-13 08:18:09.797001+00,"{""trait"":""strategic"",""scale_labels"":[""Strongly Disagree"",""Disagree"",""Neutral"",""Agree"",""Strongly Agree""]}"
1643ea37-c9ed-4d46-a29a-f1f01e1d4ad6,Q10,personality,I can stay calm when priorities shift unexpectedly.,likert,"[""1"",""2"",""3"",""4"",""5""]",,10,true,2025-06-13 08:18:09.797001+00,"{""trait"":""adaptability"",""scale_labels"":[""Strongly Disagree"",""Disagree"",""Neutral"",""Agree"",""Strongly Agree""]}"
1ed73019-5ee5-4c59-b2c0-4143012aca33,Q7,personality,I can map out multiple paths to the same goal.,likert,"[""1"",""2"",""3"",""4"",""5""]",,7,true,2025-06-13 08:18:09.797001+00,"{""trait"":""strategic"",""scale_labels"":[""Strongly Disagree"",""Disagree"",""Neutral"",""Agree"",""Strongly Agree""]}"
20fa55d8-df2e-4586-ab01-5664ea27e67d,Q3,personality,I can negotiate for what I want without feeling uneasy.,likert,"[""1"",""2"",""3"",""4"",""5""]",,3,true,2025-06-13 08:18:09.797001+00,"{""trait"":""assertiveness"",""scale_labels"":[""Strongly Disagree"",""Disagree"",""Neutral"",""Agree"",""Strongly Agree""]}"
2449e86c-5e3a-4ce7-94fb-e0f4af907b56,Q18,personality,"I keep promises, even under tight deadlines.",likert,"[""1"",""2"",""3"",""4"",""5""]",,18,true,2025-06-13 08:18:09.797001+00,"{""trait"":""conscientiousness"",""scale_labels"":[""Strongly Disagree"",""Disagree"",""Neutral"",""Agree"",""Strongly Agree""]}"
25cc12c4-d7be-4b29-925c-f2b6d06d1e6f,P3,personalization,What's your primary function?,single-select,"[""marketing"",""sales"",""product"",""engineering / IT"",""finance"",""HR / people"",""operations"",""legal / compliance"",""other""]",,3,true,2025-06-12 10:58:35.647937+00,{}
278750ab-884c-4028-a4e6-939b3c1f8366,P1,personalization,Which best describes your current position?,single-select,"[""intern"",""entry-level"",""junior"",""mid-management"",""senior / director"",""C-suite / founder""]",,1,true,2025-06-12 10:58:35.647937+00,{}
2c1d53b3-cc68-4361-a8df-ad88ed12eece,Q9,personality,Sudden changes at work rarely throw me off course.,likert,"[""1"",""2"",""3"",""4"",""5""]",,9,true,2025-06-13 08:18:09.797001+00,"{""trait"":""adaptability"",""scale_labels"":[""Strongly Disagree"",""Disagree"",""Neutral"",""Agree"",""Strongly Agree""]}"
306dd940-4a86-4ebc-8614-89690350ba97,Q22,personality,I'm transparent about my intentions with teammates.,likert,"[""1"",""2"",""3"",""4"",""5""]",,22,true,2025-06-13 08:18:09.797001+00,"{""trait"":""integrity"",""scale_labels"":[""Strongly Disagree"",""Disagree"",""Neutral"",""Agree"",""Strongly Agree""]}"
39a35019-5ff8-4e44-b26f-cb3ff7ec2e81,Q17,personality,I double-check details to ensure my work is error-free.,likert,"[""1"",""2"",""3"",""4"",""5""]",,17,true,2025-06-13 08:18:09.797001+00,"{""trait"":""conscientiousness"",""scale_labels"":[""Strongly Disagree"",""Disagree"",""Neutral"",""Agree"",""Strongly Agree""]}"
58e1f8c1-1ace-4504-a307-6a2516d667f5,P5,personalization,How do you prefer your coaching?,single-select,"[""concise & data-driven"",""step-by-step action plans"",""empathetic encouragement"",""tough-love direct feedback""]",,5,true,2025-06-12 10:58:35.647937+00,{}
5a729eb7-6cce-448f-9c40-b5dd12c549eb,Q23,personality,I own up to my mistakes immediately.,likert,"[""1"",""2"",""3"",""4"",""5""]",,23,true,2025-06-13 08:18:09.797001+00,"{""trait"":""integrity"",""scale_labels"":[""Strongly Disagree"",""Disagree"",""Neutral"",""Agree"",""Strongly Agree""]}"
768dc69e-e5c5-42fe-a2b2-71ec46801052,Q12,personality,I view setbacks as opportunities to learn.,likert,"[""1"",""2"",""3"",""4"",""5""]",,12,true,2025-06-13 08:18:09.797001+00,"{""trait"":""adaptability"",""scale_labels"":[""Strongly Disagree"",""Disagree"",""Neutral"",""Agree"",""Strongly Agree""]}"
84f41532-298a-4318-b1a9-8406972f5378,Q5,personality,I quickly see patterns others miss in complex situations.,likert,"[""1"",""2"",""3"",""4"",""5""]",,5,true,2025-06-13 08:18:09.797001+00,"{""trait"":""strategic"",""scale_labels"":[""Strongly Disagree"",""Disagree"",""Neutral"",""Agree"",""Strongly Agree""]}"
868930a7-bcb2-466d-9768-1b7a282a4869,Q20,personality,Others describe me as reliable and well-prepared.,likert,"[""1"",""2"",""3"",""4"",""5""]",,20,true,2025-06-13 08:18:09.797001+00,"{""trait"":""conscientiousness"",""scale_labels"":[""Strongly Disagree"",""Disagree"",""Neutral"",""Agree"",""Strongly Agree""]}"
95bfcb5c-97fc-4044-b264-e0df91f7bad0,Q15,personality,I pay close attention to non-verbal cues in meetings.,likert,"[""1"",""2"",""3"",""4"",""5""]",,15,true,2025-06-13 08:18:09.797001+00,"{""trait"":""empathy"",""scale_labels"":[""Strongly Disagree"",""Disagree"",""Neutral"",""Agree"",""Strongly Agree""]}"
9647f8f2-c159-434d-a874-cd182d0ee4c1,P4,personalization,Which challenges do you most want to solve? (pick up to 3),multi-select,"[""navigate office politics"",""resolve conflict with boss/peer"",""gain visibility & influence"",""secure promotion/raise"",""lead new team"",""manage cross-department projects"",""negotiate resources/budgets"",""build exec-level network"",""handle difficult stakeholders""]",,4,true,2025-06-12 10:58:35.647937+00,{}
9a78f921-527b-4527-b901-533d262d0ea8,Q11,personality,I adjust my communication style to match different audiences.,likert,"[""1"",""2"",""3"",""4"",""5""]",,11,true,2025-06-13 08:18:09.797001+00,"{""trait"":""adaptability"",""scale_labels"":[""Strongly Disagree"",""Disagree"",""Neutral"",""Agree"",""Strongly Agree""]}"
9b695d45-b505-4cfe-8a2c-faf9c1238387,Q8,personality,I like analyzing power dynamics inside my organization.,likert,"[""1"",""2"",""3"",""4"",""5""]",,8,true,2025-06-13 08:18:09.797001+00,"{""trait"":""strategic"",""scale_labels"":[""Strongly Disagree"",""Disagree"",""Neutral"",""Agree"",""Strongly Agree""]}"
a33b6bbd-6102-492d-bc55-84b812ba8029,Q19,personality,I plan my day to make steady progress on long-term goals.,likert,"[""1"",""2"",""3"",""4"",""5""]",,19,true,2025-06-13 08:18:09.797001+00,"{""trait"":""conscientiousness"",""scale_labels"":[""Strongly Disagree"",""Disagree"",""Neutral"",""Agree"",""Strongly Agree""]}"
a9b96b5a-c9e8-4752-a684-fc85b4a50177,Q13,personality,I sense when colleagues are uncomfortable even if they don't say so.,likert,"[""1"",""2"",""3"",""4"",""5""]",,13,true,2025-06-13 08:18:09.797001+00,"{""trait"":""empathy"",""scale_labels"":[""Strongly Disagree"",""Disagree"",""Neutral"",""Agree"",""Strongly Agree""]}"
af588bef-82d5-452b-a093-2a906d91ade7,Q14,personality,People often come to me for advice on interpersonal issues.,likert,"[""1"",""2"",""3"",""4"",""5""]",,14,true,2025-06-13 08:18:09.797001+00,"{""trait"":""empathy"",""scale_labels"":[""Strongly Disagree"",""Disagree"",""Neutral"",""Agree"",""Strongly Agree""]}"
c5951563-704f-4828-aaa3-af4ea18f4b7f,Q16,personality,I modify my arguments based on what matters to the listener.,likert,"[""1"",""2"",""3"",""4"",""5""]",,16,true,2025-06-13 08:18:09.797001+00,"{""trait"":""empathy"",""scale_labels"":[""Strongly Disagree"",""Disagree"",""Neutral"",""Agree"",""Strongly Agree""]}"
c791a616-0b11-4f9e-9a51-f18e1fcf07fc,Q24,personality,I'd rather lose an argument than mislead someone.,likert,"[""1"",""2"",""3"",""4"",""5""]",,24,true,2025-06-13 08:18:09.797001+00,"{""trait"":""integrity"",""scale_labels"":[""Strongly Disagree"",""Disagree"",""Neutral"",""Agree"",""Strongly Agree""]}"
cdd59d21-27cb-43a1-82db-d2b3b909eb3e,Q21,personality,I refuse to win by bending ethical rules.,likert,"[""1"",""2"",""3"",""4"",""5""]",,21,true,2025-06-13 08:18:09.797001+00,"{""trait"":""integrity"",""scale_labels"":[""Strongly Disagree"",""Disagree"",""Neutral"",""Agree"",""Strongly Agree""]}"
ce8067ff-f998-4751-9a94-39fb8c08e55b,P2,personalization,How big is the company you work at?,single-select,"[""0-5"",""5-20"",""20-100"",""100-500"",""500+ employees""]",,2,true,2025-06-12 10:58:35.647937+00,{}
f7614a81-8dcc-4682-8053-4657a889e4dd,Q2,personality,I enjoy taking the lead in group discussions.,likert,"[""1"",""2"",""3"",""4"",""5""]",,2,true,2025-06-13 08:18:09.797001+00,"{""trait"":""assertiveness"",""scale_labels"":[""Strongly Disagree"",""Disagree"",""Neutral"",""Agree"",""Strongly Agree""]}"
f8ac0856-99e8-413b-aac7-0a519cb74d40,Q1,personality,I'm comfortable pushing back on higher-ups when I believe I'm right.,likert,"[""1"",""2"",""3"",""4"",""5""]",,1,true,2025-06-13 08:18:09.797001+00,"{""trait"":""assertiveness"",""scale_labels"":[""Strongly Disagree"",""Disagree"",""Neutral"",""Agree"",""Strongly Agree""]}"
fc7286c4-abeb-4684-99f8-f5b3a7d3361e,Q4,personality,Speaking in front of senior leadership energizes me.,likert,"[""1"",""2"",""3"",""4"",""5""]",,4,true,2025-06-13 08:18:09.797001+00,"{""trait"":""assertiveness"",""scale_labels"":[""Strongly Disagree"",""Disagree"",""Neutral"",""Agree"",""Strongly Agree""]}"